id,screen_name,name,description,verified,followers_count,statuses_count,url,created_at,mentions_ibm,blank_bio
244069121,streetdock,StreetDock,Delivering a #Sustainable Urban Future #smartcity #logistics #mobility,False,250,2175,https://t.co/6gsrXPTDSH,Fri Jan 28 12:57:44 +0000 2011,0,0
960427220744450048,Unknownxxoxx1,@Unknownxxoxx,Engineer interested in technology & Biomedical Technology    &Energy & Drones my favorite software /solidworks & Matlab & Ansys & LabView 😎,False,114,83,,Mon Feb 05 08:17:48 +0000 2018,0,0
1267754244,konstantin_AI,Konstantin Karsten,my intelligence is as artificial as yours,False,0,78,,Thu Mar 14 19:08:40 +0000 2013,0,0
3804719181,AnthonyGrechbny,Anthony Grech,z Systems Lab Services Delivery Manager (Views are my own),False,70,101,,Mon Sep 28 14:56:54 +0000 2015,0,0
769971708417671169,PopDarius7,Pop Darius,My name Is Pop Darius ak FocaM8,False,0,3,,Sun Aug 28 18:55:35 +0000 2016,0,0
1110940887801053185,HCI4Lyfe,HCI4Lyfe,,False,0,0,,Wed Mar 27 16:25:22 +0000 2019,0,1
1110910661335244801,BluntTruth8,Blunt Truth,Human on Planet Earth who speaks blunt truth,False,5,18,,Wed Mar 27 14:25:16 +0000 2019,0,0
1110153019860103168,MatredR,Matred Recruiting,Matred offers full-service recruiting at only a 10% fee. We are committed to providing the most progressive recruiting!  Veteran/Woman owned!,False,126,165,https://t.co/1lMqtFV23c,Mon Mar 25 12:14:40 +0000 2019,0,0
784821508036292608,jpseasc,John Polly,employed @ IBM however my tweets are my own.,False,140,184,,Sat Oct 08 18:23:23 +0000 2016,1,0
1021716129088040960,Satoru07293653,Satoru,😀,False,0,0,,Tue Jul 24 11:18:02 +0000 2018,0,0
2457806773,thepaxs,"Pachu, El Inkansable","Sou moderno, não sou de família e nem de Deus 🏴‍☠️🇩🇪 🇧🇷 🇮🇹",False,230,5509,,Tue Apr 22 07:59:32 +0000 2014,0,0
1110591476239618056,fortwtscologne,fortwtscologne,,False,5,5,,Tue Mar 26 17:16:56 +0000 2019,0,1
991663514,ferfidelrod,ferfidelrod,,False,41,503,,Wed Dec 05 20:00:46 +0000 2012,0,1
