screen_name,name,description,verified,followers_count,statuses_count,url,created_at,mentions_ibm,blank_bio
Law_Librarian1,Matt S,,False,36,2,,Sun Feb 18 18:45:31 +0000 2018,0,1
wuelainecn,Elaine Wu,"Alibaba Cloud Global Enterprise Marketer. Addicted to all things digital and social. Love traveling, running and good food. My opinions, my tweets.",False,211,1459,,Tue Apr 24 05:36:14 +0000 2012,0,0
iibcouncil,IIB Council,IIB Council provides premium training and certification on futuristic technologies that professionals need to transform the way they do business.,False,1426,1374,https://t.co/yQ4mKbuwsW,Tue Apr 25 09:55:22 +0000 2017,0,0
ohtwoone,Ryan Elliott,,False,26,72,,Mon Feb 04 07:58:51 +0000 2008,0,1
vonrobke,Alexander von Robke,,False,8,0,,Wed Dec 09 19:48:09 +0000 2015,0,1
MicromintUSA,Micromint USA,,False,27,10,http://t.co/r64vle6pH4,Wed Apr 18 13:49:17 +0000 2012,0,1
Orbitaldebri,ＥＬＩＡＳ B. ＢＩＣＫＦＯＲＤ,,False,1,5,,Mon Jul 11 13:02:17 +0000 2011,0,1
Enterprise_Lid,Enterprise Lidcombe,,False,0,2,,Wed Jan 10 03:16:54 +0000 2018,0,1
WaleedAshraf01,Waleed Ashraf,Member @ Node.js Community Committee | Developer | Innovator | Node.js | soccer ⚽️ | https://t.co/7xRFV1iP63,False,1097,2852,https://t.co/Hd6fEdgZlt,Fri May 21 06:18:31 +0000 2010,0,0
WorkShopDavis,The WorkShop Davis,"The WorkShop Davis is a #coworking space located in downtown #Davis, CA. Walking distance to restaurants & cafes, we currently have table space available!",False,398,402,http://t.co/9mdxBWTv,Wed Mar 14 02:57:51 +0000 2012,0,0
raochelli_1,Rao Chelli,"Rao is a Go To Market Leader,NA -Oracle Digital Transformation Practice (Hybrid Cloud, Cognitive, Artificial Intelligence) @IBM GBS",False,10,0,,Thu Feb 08 02:23:08 +0000 2018,1,0
Deandre46041825,Deandre Thomas,gaming coding dojo,False,23,16,,Fri Nov 17 22:26:02 +0000 2017,0,0
LarrySwatchick,Larry Swatchick,,False,32,8,,Tue Sep 10 10:23:58 +0000 2013,0,1
JSnunki,Johana Salinas 🐳,"Entrepreneurial of Heart, Student 👩‍💻 #Marketing and #SystemEngineer  passionate about #technology and #datascience, organizing leader in @datasciencefem 💜",False,1940,6069,https://t.co/vK6chAyWUN,Thu Jul 01 14:06:05 +0000 2010,0,0
Knotts__,"""Knotts""",,False,269,156,,Wed Mar 21 22:05:49 +0000 2012,0,1
norioshimizu1,norio_shimizu,某ゲーム会社Cに所属しています。基本的にはゲームプログラマなはずです。前職はPS2のレースゲームばかり作ってました。『真・女神転生IMAGINE』、『ジャグラー×モンスター』、『サイコパス公式アプリ』、Steam版『虫姫さま』他、『三極ジャスティス』。発言はあくまでも個人的なものなので組織、団体の見解ではありません。,False,210,4788,,Thu Feb 08 05:09:12 +0000 2018,0,0
TroyGillick,Troy Gillick,,False,7,13,,Wed Jan 07 23:28:44 +0000 2015,0,1
michsoftster,MichaelV,"Entrepreneur | VR, AR & Video Game Developer.",False,452,1646,https://t.co/ubQLllOXTP,Tue Aug 18 06:50:21 +0000 2009,0,0
WordingSplines,Aquaflan,"VFX Artist, AR and VR enthusiast, love me some crypto, motorbikes and boxing

Lead Creative at JubJub productions",False,188,2190,https://t.co/NEg7lceGOH,Thu Nov 17 14:11:23 +0000 2016,0,0
BigBingCN,Bing,,False,1,0,,Sat Dec 09 08:44:54 +0000 2017,0,1
JaimeABenavente,Jaime Acuña B,,False,112,377,,Wed Dec 30 20:07:59 +0000 2009,0,1
RaDaK_XL,Kœl Mørlön,,False,0,181,,Thu Jan 11 23:09:09 +0000 2018,0,1
xhac,Christer Henriksson,Cool guy from North of Sweden,False,51,256,https://t.co/cPXKNFtMk6,Thu May 07 08:34:46 +0000 2009,0,0
PracticalityVow,C.J. Cato | Vow of Practicality,"Let’s grow your wealth, increase your productivity, and maximize your happiness.",False,1284,1547,https://t.co/TdJUsoczyJ,Thu Dec 22 01:37:52 +0000 2016,0,0
Wado_Will,Yi(Will) Zhang,"PhDstudent @Penn, on #datamanagement and #machinelearning & #nlp systems, devoting to make #AI reusable & trustworthy. Got my #karate black belt in 2013",False,89,47,,Tue Sep 20 21:43:33 +0000 2016,0,0
Joshterry32,Josh Terry,,False,222,1217,,Tue Sep 28 06:16:00 +0000 2010,0,1
850709c,090785c,IEM,False,164,3359,,Sun Mar 06 20:17:03 +0000 2011,0,0
Stralytica,Stralytica Consulting,Delivering Business Intelligence Through Strategic Analytics.  #businessintelligence #business #strategy #analytics #consulting #CSuite #CEO #CMO #CXO #CTO #CIO,False,419,598,https://t.co/pzytKpabij,Wed Feb 14 06:50:30 +0000 2018,0,0
nadlerben1,Ben Nadler,,False,3,0,,Fri Jul 22 16:50:27 +0000 2016,0,1
nolan_brid,Brid Nolan,,False,0,2,,Sat Apr 29 07:43:53 +0000 2017,0,1
AlexOstergren,Alexander Östergren,Advertising Account Executive (Nordics),False,18,16,https://t.co/8YA0CNSsZL,Mon Jan 31 09:29:00 +0000 2011,0,0
CarolinAmezcua,Carolina Amezcua,,False,2,1,,Tue Feb 20 20:44:47 +0000 2018,0,1
ReaganRkunda,Reagan Kunda,Automation/Electrical engineering #KCM# AI researcher# Automation scripts#engineering-solutions# optimism#digitalization # engineerbychoice,False,169,192,,Thu Jul 06 11:54:57 +0000 2017,0,0
absencja,Ef,,False,2,4,,Thu Oct 29 20:12:13 +0000 2015,0,1
martinablust,Martina Blust,#freelance #project and #process #happyconsultant | #trainer | #systemiccoach | #universitylecturer | #researcher | #systemsthinker | #ipim,False,231,698,https://t.co/jkqw20FfbZ,Thu Nov 20 15:10:21 +0000 2014,0,0
_apsingh86,abhay pratap singh,,False,158,1380,,Sat Jul 30 17:49:41 +0000 2011,0,1
TransmediaLab1,TRANSMEDIA LAB,Somos la empresa líder en soluciones de colaboración y gestión de contenidos,False,7,9,https://t.co/DjJIHOypp1,Fri Jan 26 14:15:56 +0000 2018,0,0
CochranSeanM,Sean Cochran,,False,7,0,,Tue Feb 20 19:17:03 +0000 2018,0,1
pitu22_94,Diego,IG: pituhelloworld,False,953,15909,,Thu Mar 03 21:10:30 +0000 2011,0,0
Roy23198792,Roy,,False,0,3,,Sun Feb 18 18:40:54 +0000 2018,0,1
Dancon_,Dan Connaughton,,False,160,1418,,Tue Apr 12 08:46:37 +0000 2011,0,1
MonizKadam7,Monish,Evolve or get extinct..............,False,10,2,,Tue Jan 01 11:43:50 +0000 2013,0,0
